Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,2000,1800,1800,1800,1700,1800,1800,1700,1800,1700,1790
50,34800,34900,34800,35000,34900,35000,66700,34900,35200,35000,38120
100,284700,270600,274100,273200,290700,291600,351900,292300,271800,272600,287350
200,2514800,2617700,2547300,2550900,2642500,2553900,2568200,2590400,2582500,2506200,2567440
300,9271300,9175200,9188000,9189400,9288200,8909600,8831800,8808600,8677600,8851700,9019140
400,24371700,22438500,21993300,22187900,21060100,21163800,24746300,21981000,22113600,22177100,22423330
500,44374900,44222500,42862800,42332200,42360400,41540000,43778400,43397800,44333200,43313800,43251600
600,77542100,77396900,76404000,77746000,76423900,76711200,76053000,75208200,75430200,74666900,76358240
700,121092600,118295300,119750600,117799000,118049700,118739100,126106500,119294700,121503100,122623100,120325370
800,183023000,183555300,180860200,180553000,193508600,183817300,181251300,181116800,181437900,182698100,183182150
900,258902100,251406900,260702900,264489400,258567000,258982900,270950700,264452200,256491900,262510700,260745670
1000,363887800,364017900,358681400,357509500,360253300,354594600,360548400,360703600,356665900,352574900,358943730
