size: 10,Time difference: 7400[ns]
size: 10,Time difference: 6700[ns]
size: 10,Time difference: 7100[ns]
size: 10,Time difference: 7100[ns]
size: 10,Time difference: 6100[ns]
size: 10,Time difference: 6400[ns]
size: 10,Time difference: 6400[ns]
size: 10,Time difference: 5900[ns]
size: 10,Time difference: 6200[ns]
size: 10,Time difference: 21800[ns]
size: 100,Time difference: 3931500[ns]
size: 100,Time difference: 4226000[ns]
size: 100,Time difference: 3451700[ns]
size: 100,Time difference: 3134600[ns]
size: 100,Time difference: 2793100[ns]
size: 100,Time difference: 2772000[ns]
size: 100,Time difference: 2678500[ns]
size: 100,Time difference: 2688500[ns]
size: 100,Time difference: 2725100[ns]
size: 100,Time difference: 2914300[ns]
size: 1000,Time difference: 2982717500[ns]
size: 1000,Time difference: 3018781800[ns]
size: 1000,Time difference: 2997945700[ns]
size: 1000,Time difference: 2974182700[ns]
size: 1000,Time difference: 2902988600[ns]
size: 1000,Time difference: 2876386200[ns]
size: 1000,Time difference: 2903719300[ns]
size: 1000,Time difference: 2860824000[ns]
size: 1000,Time difference: 2883568000[ns]
size: 1000,Time difference: 2843324900[ns]
